"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"46368",7500,7500,12,0,0.166666666666667,1,1,1409705693,2520307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"46369",5500,5500,53,3,0.02,1,1,1302673382,3453418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"46370",5e+06,5e+06,36,1,0.142857142857143,1,1,1386723033,3301767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"46371",4000,6278.35,18,1,0.352941176470588,0,0,1414099570,2536430,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"46372",4e+05,49800.18,58,2,0.0892857142857143,0,0,1418615105,1736095,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"46373",19000,19000,42,1,0.0731707317073171,1,1,1485263368,2998232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"46374",5000,5000,29,1,0.0714285714285714,1,1,1456295516,2500084,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"46376",10000,10000,25,0,0.12,1,1,1366265819,5179381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"46378",20000,22302.01,53,1,0.269230769230769,0,0,1440196531,2528669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"46379",2200,2200,16,0,0.125,1,1,1281696878,2570722,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46380",8000,8000,49,1,0.166666666666667,1,1,1360033316,2516284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"46381",15000,15000,37,1,0.166666666666667,1,1,1509969899,2570101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"46382",2000,2000,29,1,0.142857142857143,1,1,1358296839,5113161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"46383",3000,3000,26,1,0.04,1,1,1379987775,2516625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
