0,1,8,2194218,None
44039,2,4,0.0555555555555556,None
44040,2,3,0,None
52833,3,None,None,0
52834,3,7,1509669770,None
80009,3,7,1402115088,None
80010,3,4,0.111111111111111,None
-2,-1,-1,0,-1
-2,-1,-1,0,-1
57683,4,3,0,None
57684,4,None,None,0
109059,4,2,71,None
109060,4,4,0.0606060606060606,None
132699,4,7,1271986072,None
132700,4,1,1000,None
-2,-1,-1,0,-1
-2,-1,-1,0,-1
-2,-1,-1,0,-1
-2,-1,-1,0,-1
60541,5,None,None,1
60542,5,None,None,1
-2,-1,-1,0,-1
-2,-1,-1,0,-1
113787,5,None,None,0
113788,5,None,None,1
120585,5,None,None,0
120586,5,None,None,0
143037,5,None,None,1
143038,5,None,None,0
146603,5,None,None,1
146604,5,None,None,0
