"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","target"
"313",1971,1971,39,0,0.205128205128205,1,1,1306752777,2830023,1
"314",20000,33751.86,13,0,0.153846153846154,0,0,1395812757,3021243,0
"315",5350,5350,37,1,0.111111111111111,1,1,1510116101,1127899,0
"316",9900,16038.88,56,1,0.0363636363636364,0,0,1382580491,2519509,1
"317",250,385.58,26,0,0.230769230769231,0,0,1439170182,2518218,1
"318",5000,5000,34,2,0.09375,1,1,1431391074,2521326,0
"319",10000,10000,60,2,0.137931034482759,1,1,1436382080,2541520,1
"320",2000,2000,54,3,0.156862745098039,1,1,1494006425,1768375,1
"321",1750,1750,32,2,0.133333333333333,1,1,1393904406,1473594,1
"322",2000,2000,16,0,0.1875,1,1,1425693538,2516462,0
"323",2250,2250,59,0,0.169491525423729,1,1,1408952019,2582781,0
"324",2000,2000,25,1,0.0416666666666667,1,1,1441060100,1233100,0
"325",60000,60000,31,0,0.129032258064516,1,1,1399724633,5157367,0
"326",25000,25000,26,0,0.153846153846154,1,1,1442368907,2516293,1
"328",2e+05,233081.22,13,0,0.153846153846154,0,0,1504828555,5119445,0
"330",250,192.96,30,1,0.0344827586206897,0,0,1431098219,2122981,1
"331",2e+05,2e+05,38,2,0.222222222222222,1,1,1505865743,3819457,1
"332",4800,4800,17,0,0,1,1,1384233422,2508178,1
"333",7000,7000,25,1,0.166666666666667,1,1,1405567654,2511146,0
"334",8000,8000,60,1,0.203389830508475,1,1,1411624630,3456170,0
"335",1500,2407.55,18,0,0.222222222222222,0,0,1377734324,2610076,0
"336",7000,371.71,5,0,0.2,0,0,1488174938,4230262,0
"337",6000,6000,11,0,0.181818181818182,1,1,1307648582,3835018,1
"338",7500,7033.01,36,1,0.342857142857143,0,0,1385433081,2518119,1
"339",20000,20000,18,2,0.1875,1,1,1450417038,5098962,0
"340",200,140.55,22,0,0.136363636363636,0,0,1450370306,2553694,0
"341",1e+06,1076403.09,14,0,0.0714285714285714,0,0,1441944201,5104599,0
"342",15000,15000,25,0,0.16,1,1,1473535504,2540096,1
"344",15000,15000,35,1,0.147058823529412,1,1,1328161214,5095186,0
"345",65000,65000,23,3,0.15,1,1,1416734478,2579922,0
"346",8500,8500,59,2,0.12280701754386,1,1,1430344147,5123453,0
"347",600,909.15,47,2,0.111111111111111,0,0,1372820039,2513161,0
"348",999,999,48,1,0.212765957446809,1,1,1403907846,2529354,1
"349",15000,15000,42,1,0.439024390243902,1,1,1456281621,2600379,1
"350",9000,9000,27,0,0.148148148148148,1,1,1425000955,2517845,0
"351",3000,3000,47,1,0.108695652173913,1,1,1469096306,1449694,0
"352",7000,7000,14,0,0.214285714285714,1,1,1464438793,2392007,1
"353",20000,21159.99,41,0,0.853658536585366,0,0,1445573438,2512162,0
"354",2000,3103.37,36,1,0.142857142857143,0,0,1433876341,4528859,1
"355",50000,50000,46,1,0.177777777777778,1,1,1378105609,5176391,1
"357",15000,15000,46,2,0.136363636363636,1,1,1345840087,4264313,0
"358",2000,2000,81,6,0.12,1,1,1249618795,7432805,0
"359",3500,3500,21,1,0.25,1,1,1402554241,2586959,0
"360",10000,10000,23,1,0.136363636363636,1,1,1298676885,3907515,0
"361",7000,7000,35,1,0.176470588235294,1,1,1314927882,2517318,1
"362",5000,5000,42,2,0.1,1,1,1382996471,1325929,0
"363",500,500,31,2,0.172413793103448,1,1,1508200049,1747951,0
"364",1,1,43,2,0.0731707317073171,1,1,1304056996,2588204,1
"365",500,500,7,0,0.142857142857143,1,1,1448314609,5127791,0
"366",5000,5934.01,48,1,0.276595744680851,0,0,1500585116,892084,1
"367",40000,40000,43,1,0.119047619047619,1,1,1398206875,1923125,0
"368",1000,1000,52,2,0.06,1,1,1405995958,2514842,0
"369",5e+05,5e+05,18,1,0.117647058823529,1,1,1452243904,5172896,0
"370",18000,18000,6,0,1,1,1,1415849713,3119087,1
"371",1000,1000,26,0,0.153846153846154,1,1,1394661926,2530474,0
"372",800,800,8,0,0.25,1,1,1338439222,2247578,1
"373",6000,6000,34,1,0.212121212121212,1,1,1354168087,5098313,0
"374",3500,2868.85,28,1,0.111111111111111,0,0,1428462052,3808748,0
"376",19400,19400,29,2,0.222222222222222,1,1,1494880526,1499074,1
"377",40000,31343.05,55,3,0.134615384615385,0,0,1505211061,5168939,0
"378",12500,12500,52,1,0.176470588235294,1,1,1352255600,3814000,1
"379",2500,2500,48,1,0.127659574468085,1,1,1361311348,2530652,1
"380",28000,28000,27,0,0.0740740740740741,1,1,1296125266,5163134,0
"381",500,500,35,0,0.142857142857143,1,1,1305496391,2963209,1
"382",5500,5500,15,0,0.133333333333333,1,1,1352936058,2528742,1
"383",25000,25000,15,0,0.133333333333333,1,1,1425938903,5122297,0
"384",10900,8103.49,60,2,0.0344827586206897,0,0,1427944135,3289865,1
"385",4000,4000,9,0,0.111111111111111,1,1,1341644954,2929846,0
"386",20000,20000,38,1,0.810810810810811,1,1,1371871888,2510912,0
"388",7500,7500,20,1,0.105263157894737,1,1,1431902941,2873459,1
"389",1000,1000,31,2,0.758620689655172,1,1,1369181956,2522444,1
"390",25000,25000,19,0,0.263157894736842,1,1,1385014250,3887350,1
"391",30000,49034.03,33,0,0.0606060606060606,0,0,1382727055,2545745,0
"392",7500,7500,37,2,0.114285714285714,1,1,1320549670,2601530,1
"393",3500,4926.39,7,0,0.142857142857143,0,0,1456443634,3647966,0
"394",750,750,9,0,1,1,1,1331864200,2256200,1
"395",1000,1000,22,1,0.142857142857143,1,1,1328990270,2538130,0
